,O_lon_old,O_lat_old,D_lon_old,D_lat_old,O_lon,O_lat,D_lon,D_lat,District,O_time_relative,is_O_adjusted,is_D_adjusted
7055,-73.98636627197266,40.74029922485352,-73.98135375976561,40.75457763671875,-73.98636627197266,40.74029922485352,-73.9822176,40.7457792,2,3630.0,False,True
7056,-73.98146820068358,40.737266540527344,-74.00638580322266,40.726470947265625,-73.98146820068358,40.737266540527344,-74.0023601,40.7282339,2,3633.0,False,True
7057,-73.98611450195312,40.7401123046875,-73.97610473632812,40.75467300415039,-73.98611450195312,40.7401123046875,-73.9806695,40.7451276,2,3635.0,False,True
7058,-74.00794219970702,40.72341537475586,-73.98788452148438,40.74099349975586,-74.0023601,40.7282339,-73.98788452148438,40.74099349975586,2,3635.0,True,False
7059,-74.00099945068358,40.7314682006836,-73.9885025024414,40.71297073364258,-74.00099945068358,40.7314682006836,-73.9831408,40.7171684,2,3637.0,False,True
7060,-73.99298095703125,40.74277114868164,-73.97876739501953,40.73685836791992,-73.9895636,40.7398722,-73.97876739501953,40.73685836791992,2,3637.5,True,False
7061,-73.99866485595702,40.72285079956056,-73.98542022705078,40.73422622680664,-73.9975736,40.7258712,-73.98542022705078,40.73422622680664,2,3638.0,True,False
7062,-73.99097442626953,40.73480987548828,-73.97610473632812,40.740058898925774,-73.99097442626953,40.73480987548828,-73.9781918,40.7392336,2,3638.0,False,True
7063,-73.9988555908203,40.734573364257805,-73.99311828613281,40.74229431152344,-73.9988555908203,40.734573364257805,-73.9895636,40.7398722,2,3638.0,False,True
7064,-73.99568176269531,40.73286819458008,-73.98709869384764,40.75096130371094,-73.99568176269531,40.73286819458008,-73.9859434,40.7465313,2,3638.0,False,True
7065,-73.98639678955078,40.730499267578125,-73.99137115478516,40.74910736083984,-73.98639678955078,40.730499267578125,-73.9863915,40.7459215,2,3640.0,False,True
7066,-73.98135375976561,40.743919372558594,-73.9749526977539,40.73709487915039,-73.98135375976561,40.743919372558594,-73.9776048,40.7381697,2,3640.0,False,True
7067,-73.98534393310547,40.72355270385742,-74.0015869140625,40.73934555053711,-73.98534393310547,40.72355270385742,-73.9980019,40.7329485,2,3641.0,False,True
7068,-73.98703765869139,40.73894119262695,-73.97431945800781,40.75653839111328,-73.98703765869139,40.73894119262695,-73.9806695,40.7451276,2,3641.0,False,True
7069,-73.99413299560547,40.73247909545898,-73.99114227294923,40.74724197387695,-73.99413299560547,40.73247909545898,-73.9863915,40.7459215,2,3644.0,False,True
7070,-73.99002075195312,40.73111724853516,-73.9866714477539,40.74279022216797,-73.99002075195312,40.73111724853516,-73.9870446,40.742157,2,3644.0,False,True
7071,-73.98812866210938,40.750198364257805,-73.98271179199219,40.7449951171875,-73.9859434,40.7465313,-73.98271179199219,40.7449951171875,2,3650.5,True,False
7072,-73.9781951904297,40.73738861083984,-73.97188568115233,40.74608612060546,-73.9781951904297,40.73738861083984,-73.9772763,40.7428905,2,3654.0,False,True
7073,-73.9837875366211,40.73826217651367,-73.97322082519531,40.7585563659668,-73.9837875366211,40.73826217651367,-73.9806695,40.7451276,2,3655.0,False,True
7074,-73.99181365966798,40.74449920654297,-74.00244140625,40.72909164428711,-73.9895636,40.7398722,-74.00244140625,40.72909164428711,2,3656.5,True,False
7075,-73.99283599853516,40.73014831542969,-73.98255920410156,40.7449607849121,-73.99283599853516,40.73014831542969,-73.98255920410156,40.7449607849121,2,3659.0,False,False
7076,-73.9857406616211,40.735931396484375,-73.96953582763672,40.75775146484375,-73.9857406616211,40.735931396484375,-73.9772763,40.7428905,2,3661.0,False,True
7077,-73.98538970947266,40.73581314086913,-73.97522735595702,40.75544738769531,-73.98538970947266,40.73581314086913,-73.9806695,40.7451276,2,3661.0,False,True
7078,-73.99416351318358,40.75053024291992,-73.99594116210938,40.73624038696289,-73.9863915,40.7459215,-73.99594116210938,40.73624038696289,2,3662.0,True,False
7079,-73.98094177246092,40.7418212890625,-73.97544860839844,40.75823593139648,-73.98094177246092,40.7418212890625,-73.9806695,40.7451276,2,3663.0,False,True
7080,-73.97870635986328,40.74079513549805,-73.98950958251953,40.73503112792969,-73.97870635986328,40.74079513549805,-73.98950958251953,40.73503112792969,2,3663.0,False,False
7081,-73.9925765991211,40.73736953735352,-73.99582672119139,40.726387023925774,-73.9925765991211,40.73736953735352,-73.99582672119139,40.726387023925774,2,3667.0,False,False
7082,-73.99635314941406,40.73794174194336,-73.98136138916014,40.74208450317384,-73.99635314941406,40.73794174194336,-73.98136138916014,40.74208450317384,2,3669.0,False,False
7083,-73.98918914794923,40.7306022644043,-73.98419189453125,40.743179321289055,-73.98918914794923,40.7306022644043,-73.98419189453125,40.743179321289055,2,3669.0,False,False
7084,-73.97872161865233,40.74778366088867,-73.98065185546875,40.745906829833984,-73.9806695,40.7451276,-73.98065185546875,40.745906829833984,2,3670.5,True,False
7085,-73.99530029296875,40.73366928100586,-73.97509765625,40.74163818359375,-73.99530029296875,40.73366928100586,-73.9772763,40.7428905,2,3672.0,False,True
7086,-73.99714660644531,40.73681640625,-73.97390747070312,40.76044464111328,-73.99714660644531,40.73681640625,-73.9806695,40.7451276,2,3672.0,False,True
7087,-73.98513793945312,40.72774124145508,-73.99880981445312,40.72274017333984,-73.98513793945312,40.72774124145508,-73.9975736,40.7258712,2,3675.0,False,True
7088,-73.98002624511719,40.7391357421875,-73.98786163330078,40.73440170288086,-73.98002624511719,40.7391357421875,-73.98786163330078,40.73440170288086,2,3675.0,False,False
7089,-73.99446868896483,40.73442840576172,-73.97168731689453,40.7618293762207,-73.99446868896483,40.73442840576172,-73.9806695,40.7451276,2,3676.0,False,True
7090,-73.98486328125,40.72188568115234,-73.9852066040039,40.74315643310546,-73.98486328125,40.72188568115234,-73.9852066040039,40.74315643310546,2,3679.0,False,False
7091,-73.9921646118164,40.725147247314446,-73.97344970703125,40.75209045410156,-73.9921646118164,40.725147247314446,-73.9772763,40.7428905,2,3680.0,False,True
7092,-74.00173950195312,40.74663543701172,-73.98091888427734,40.74190139770508,-73.9936325,40.7360074,-73.98091888427734,40.74190139770508,2,3680.0,True,False
7093,-73.98564910888672,40.73526763916016,-73.99224090576173,40.74934768676758,-73.98564910888672,40.73526763916016,-73.9863915,40.7459215,2,3680.0,False,True
7094,-73.9824676513672,40.74092864990234,-73.98639678955078,40.75614547729492,-73.9824676513672,40.74092864990234,-73.9859434,40.7465313,2,3680.0,False,True
7095,-73.98103332519531,40.744495391845696,-73.9806900024414,40.76280212402344,-73.98103332519531,40.744495391845696,-73.9822176,40.7457792,2,3681.0,False,True
7096,-73.99945068359375,40.73370742797852,-73.98851013183594,40.753921508789055,-73.99945068359375,40.73370742797852,-73.9859434,40.7465313,2,3681.0,False,True
7097,-73.96768188476561,40.75614547729492,-73.98488616943358,40.74285507202149,-73.9772763,40.7428905,-73.98488616943358,40.74285507202149,2,3681.5,True,False
7098,-73.98375701904298,40.74393844604492,-73.99172973632812,40.738628387451165,-73.98375701904298,40.74393844604492,-73.9897506,40.7391688,2,3682.0,False,True
7099,-73.99861907958984,40.72789764404297,-73.97815704345702,40.7375373840332,-73.99861907958984,40.72789764404297,-73.97815704345702,40.7375373840332,2,3683.0,False,False
7100,-73.97544860839844,40.724517822265625,-74.01565551757811,40.708282470703125,-73.97544860839844,40.724517822265625,-74.0023601,40.7282339,2,3683.0,False,True
7101,-73.98065948486328,40.73397064208984,-73.97921752929686,40.74414825439453,-73.98065948486328,40.73397064208984,-73.97921752929686,40.74414825439453,2,3683.0,False,False
7102,-74.0066680908203,40.71194076538086,-74.0023193359375,40.729270935058594,-73.9990701,40.7266087,-74.0023193359375,40.729270935058594,2,3683.5,True,False
7103,-73.99022674560547,40.733028411865234,-73.99860382080078,40.718528747558594,-73.99022674560547,40.733028411865234,-73.9967146,40.7255012,2,3687.0,False,True
7104,-73.98375701904298,40.73411178588867,-73.97895812988281,40.75027847290039,-73.98375701904298,40.73411178588867,-73.9806695,40.7451276,2,3689.0,False,True
7105,-74.00566101074217,40.748394012451165,-73.98789215087889,40.74092864990234,-73.9980019,40.7329485,-73.98789215087889,40.74092864990234,2,3689.0,True,False
7106,-73.98658752441406,40.733863830566406,-73.97730255126953,40.738800048828125,-73.98658752441406,40.733863830566406,-73.97730255126953,40.738800048828125,2,3690.0,False,False
7107,-73.99127197265625,40.74998092651367,-73.98580169677734,40.741004943847656,-73.9859434,40.7465313,-73.98580169677734,40.741004943847656,2,3690.5,True,False
7108,-73.98341369628906,40.73841857910156,-73.97229766845702,40.7536506652832,-73.98341369628906,40.73841857910156,-73.9772763,40.7428905,2,3691.0,False,True
7109,-73.98157501220702,40.74114990234375,-73.9837188720703,40.75065994262695,-73.98157501220702,40.74114990234375,-73.9859434,40.7465313,2,3694.0,False,True
7110,-73.98015594482422,40.738895416259766,-73.99528503417967,40.72526550292969,-73.98015594482422,40.738895416259766,-73.99528503417967,40.72526550292969,2,3695.0,False,False
7111,-73.98033905029298,40.73854064941406,-73.995849609375,40.737213134765625,-73.98033905029298,40.73854064941406,-73.995849609375,40.737213134765625,2,3697.0,False,False
7112,-73.97955322265625,40.73973083496094,-73.99610137939453,40.7164306640625,-73.97955322265625,40.73973083496094,-73.9934284,40.7245091,2,3697.0,False,True
7113,-74.00012969970702,40.73781967163086,-73.99752044677734,40.7300033569336,-73.9980019,40.7329485,-73.99752044677734,40.7300033569336,2,3701.0,True,False
7114,-73.99462127685547,40.72603225708008,-73.97378540039062,40.73772811889648,-73.99462127685547,40.72603225708008,-73.9776048,40.7381697,2,3702.0,False,True
7115,-73.99433898925781,40.74602127075195,-73.98351287841797,40.74116134643555,-73.9895636,40.7398722,-73.98351287841797,40.74116134643555,2,3703.5,True,False
7116,-73.98417663574217,40.7432098388672,-73.98957061767578,40.747169494628906,-73.98417663574217,40.7432098388672,-73.9863915,40.7459215,2,3704.0,False,True
7117,-73.99392700195312,40.73268508911133,-73.99814605712889,40.72380447387695,-73.99392700195312,40.73268508911133,-73.9975736,40.7258712,2,3709.0,False,True
7118,-74.00077819824217,40.732059478759766,-73.99461364746092,40.73626708984375,-74.0014113,40.7310625,-73.99461364746092,40.73626708984375,2,3712.0,True,False
7119,-73.98417663574217,40.7251205444336,-73.97409057617188,40.75113677978516,-73.98417663574217,40.7251205444336,-73.9772763,40.7428905,2,3712.0,False,True
7120,-73.98532104492188,40.731929779052734,-74.0072021484375,40.75146865844727,-73.98532104492188,40.731929779052734,-73.9936325,40.7360074,2,3712.0,False,True
7121,-73.98516845703125,40.732154846191406,-73.99374389648438,40.7183074951172,-73.98516845703125,40.732154846191406,-73.9925309,40.7241972,2,3713.0,False,True
7122,-73.99152374267578,40.72702026367188,-73.97026824951173,40.75798034667969,-73.99152374267578,40.72702026367188,-73.9806695,40.7451276,2,3714.0,False,True
7123,-73.98294067382812,40.73899841308594,-74.01342010498048,40.71672821044922,-73.98294067382812,40.73899841308594,-74.0023601,40.7282339,2,3714.0,False,True
7124,-73.98734283447266,40.72020721435546,-73.9936294555664,40.73532485961913,-73.9853164,40.7204937,-73.9936294555664,40.73532485961913,2,3714.5,True,False
7125,-73.97872924804686,40.75075149536133,-73.98397827148438,40.7436408996582,-73.9806695,40.7451276,-73.98397827148438,40.7436408996582,2,3715.0,True,False
7126,-73.9821014404297,40.74029922485352,-73.99208068847656,40.749370574951165,-73.9821014404297,40.74029922485352,-73.9863915,40.7459215,2,3715.0,False,True
7127,-73.98082733154298,40.742069244384766,-73.96700286865233,40.7610740661621,-73.98082733154298,40.742069244384766,-73.9772763,40.7428905,2,3716.0,False,True
7128,-74.01421356201173,40.711475372314446,-73.98381805419923,40.72565078735352,-74.0023601,40.7282339,-73.98381805419923,40.72565078735352,2,3716.5,True,False
7129,-73.98519134521484,40.737171173095696,-73.96269226074217,40.76713180541992,-73.98519134521484,40.737171173095696,-73.9772763,40.7428905,2,3719.0,False,True
7130,-73.98258972167967,40.742408752441406,-73.99777984619139,40.724220275878906,-73.98258972167967,40.742408752441406,-73.9975736,40.7258712,2,3719.0,False,True
7131,-73.99494171142578,40.73429870605469,-73.98007965087889,40.76036071777344,-73.99494171142578,40.73429870605469,-73.9822176,40.7457792,2,3722.0,False,True
7132,-73.99546813964845,40.72528076171875,-74.00341796875,40.74877166748047,-73.99546813964845,40.72528076171875,-73.9936325,40.7360074,2,3723.0,False,True
7133,-73.981201171875,40.741409301757805,-73.9715805053711,40.754219055175774,-73.981201171875,40.741409301757805,-73.9772763,40.7428905,2,3723.0,False,True
7134,-73.98108673095702,40.737911224365234,-73.99021911621094,40.72499084472656,-73.98108673095702,40.737911224365234,-73.99021911621094,40.72499084472656,2,3723.0,False,False
